max,mean,medabsdevmed,median,min,npts,q1,q3,quartile,rms,sigma,sum,sumsq,Galaxy
2507.90209961,328.91829155,26.58902931,76.08623123,41.60090256,242.0,57.73677063,187.71243286,129.97566223,689.34384965,607.06717306,79598.22655487,114997176.0,NGC253
715.7845459,110.15287074,24.88506699,70.6548996,27.30524635,165.0,51.03695679,111.17412567,60.13716888,159.0070598,115.02073896,18175.22367287,4171735.43609619,Antennae
2428.28417969,493.08931589,82.99419403,238.90122223,88.36820984,64.0,193.76965332,428.70669556,234.93704224,748.67670458,567.81820117,31557.71621704,35873075.7109375,Henize
2872.41894531,1522.20659474,529.02514648,1411.40441895,256.97454834,135.0,966.85968018,2366.93798828,1400.07830811,1708.63588007,778.98562501,205497.89028931,394123937.0,30Dor
