ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,
1,2,1.174e+06,38.52,5.194e+04,15.19,1.811e+04,15.12,22.13,0.2709,18.81,0.2428,22.33,0.5356,32.19,53.3,60.46,20.45,1.603e+04,681.6,nan,nan,nan,nan,16.26,12.7,0.1511,89.76,1.491e+05,15.08,20.93,0.2241
2,2,1.092e+06,37.44,6.186e+04,15.03,2.728e+04,15.11,17.82,0.2267,15.81,0.2136,18.18,0.359,35.83,54.66,65.55,10.36,2.165e+04,1104,nan,nan,nan,nan,nan,nan,nan,nan,1.942e+05,14.94,16.8,0.1823
3,2,9.577e+05,34.06,3.927e+04,14.58,1.529e+04,14.59,19.61,0.2598,16.96,0.2004,16.4,0.3255,43.15,25.16,44.61,8.739,1.873e+04,873.5,nan,nan,nan,nan,nan,nan,nan,nan,1.56e+05,14.53,18.92,0.1911
4,2,9.497e+05,38.69,4.015e+04,15.05,2.428e+04,15.07,24.7,0.4157,24.62,0.5052,-0.5631,0.08346,46.46,63.89,83.46,10.05,2.006e+04,787.1,12.92,12.68,0.5831,0.007899,nan,nan,nan,nan,1.877e+05,15.1,23.25,0.2957
5,2,6.487e+05,30.06,2.364e+04,14.11,9728,14.1,15.85,0.2197,14.6,0.2482,13.04,0.3031,45.53,25.71,47.07,20.96,1.691e+04,844.7,nan,nan,nan,nan,nan,nan,nan,nan,1.047e+05,14.08,15.41,0.2016
6,2,2.422e+05,22.76,9549,13.38,nan,nan,15.38,0.2192,13.68,0.205,nan,nan,31.05,20.57,28.46,9.153,5552,345.6,nan,nan,nan,nan,nan,nan,nan,nan,3.553e+04,13.37,14.73,0.1936
7,2,9.355e+04,21.34,4248,13.13,3648,13.16,10.19,0.1513,9.354,0.3133,9.1,0.3562,22.84,37.18,36.96,13.41,6635,432,nan,nan,nan,nan,nan,nan,nan,nan,2.813e+04,13.25,9.867,0.1263
8,2,3.247e+05,29.51,nan,nan,nan,nan,16.82,0.2383,nan,nan,nan,nan,39.27,28.18,45.23,12.43,1.52e+04,796.7,nan,nan,nan,nan,nan,nan,nan,nan,4.866e+04,14.02,16.75,0.2303
9,2,1.359e+05,22.28,nan,nan,nan,nan,9.332,0.1302,nan,nan,nan,nan,44.93,18.68,36.61,21.66,9030,499.2,nan,nan,nan,nan,nan,nan,nan,nan,2.619e+04,13.33,9.21,0.1212
10,2,2.539e+05,25.79,8816,13.4,3752,13.39,11.72,0.171,7.969,0.3235,0.5091,0.07075,59.63,37.41,70.83,15.8,1.246e+04,652.8,nan,nan,nan,nan,nan,nan,nan,nan,7.359e+04,13.65,11.12,0.1334
11,2,2.24e+05,24.89,1.171e+04,13.47,nan,nan,14.87,0.1966,13.23,0.3415,nan,nan,23.3,16.67,12.17,12,1.315e+04,767.9,3660,12.85,4.251,0.06392,nan,nan,nan,nan,4.34e+04,13.56,15.15,0.2076
12,2,6.102e+05,37.54,nan,nan,nan,nan,15.28,0.2204,nan,nan,nan,nan,67.96,45.21,85.09,25.81,2.29e+04,1008,nan,nan,nan,nan,nan,nan,nan,nan,8.248e+04,14.95,15.29,0.2132
13,2,1.303e+05,20.51,nan,nan,nan,nan,6.734,0.08447,nan,nan,nan,nan,51.65,27.47,53.59,17.94,7925,451.2,nan,nan,nan,nan,4239,13.37,5.607,0.1597,2.91e+04,13.19,6.7,0.08175
